OID|DISBURSEMENT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
1218828|505|CONVENTION EXPENSE|2004-12-31|1095|853624|463544
1218829|505|PUBLIC RELATIONS|2004-12-31|4528|853624|463544
1218830|505|MEMBERS PARTY|2004-12-31|8202|853624|463544
1218831|505|OUTSIDE SERVICES|2004-12-31|5406|853624|463544
1218832|505|DEATH BENEFITS|2004-12-31|63971|853624|463544
1220474|504|Telephone Service|2004-12-31|5817|854557|464085
1220475|504|Rent|2004-12-31|8130|854558|464085
1220476|504|Grievance Arbitration|2004-12-31|10656|854559|464085
1220477|504|Grievance Arbitration|2004-12-31|7231|854560|464085
1220478|504|Grievance Arbitration|2004-12-31|5953|854561|464085
22|505|Lodging for delegate attending National Convention|2004-08-28|6489|64|227102
1218833|504|ADVERTISING|2004-12-31|9549|853626|463546
1218834|504|ORGANIZER|2004-12-31|153610|853626|463546
1218835|504|CONVENTION|2004-12-31|100864|853626|463546
1218836|504|DUES|2004-12-31|813|853626|463546
1218837|504|FLOWERS|2004-12-31|47|853626|463546
1218838|504|LICENSE|2004-12-31|120|853626|463546
1218839|504|NJ BLDG TRADES|2004-12-31|6233|853626|463546
1218840|504|MEETING EXPENSES|2004-12-31|9314|853626|463546
1218841|504|PRINTING|2004-12-31|702|853627|463546
1218842|504|RETIREMENT GIFT|2004-12-31|4560|853627|463546
1218843|505|ACCOUNTING|2004-12-31|3894|853628|463546
1218844|505|BANK CHARGES|2004-12-31|130|853628|463546
1218845|505|COMPUTER|2004-12-31|300|853628|463546
1218846|505|INSURANCE|2004-12-31|408|853628|463546
1218847|505|OFFICE SUPPLIES|2004-12-31|10209|853628|463546
1218848|505|RENT|2004-12-31|3780|853628|463546
1218849|505|SUBSCRIPTIONS|2004-12-31|1675|853628|463546
1218850|505|TELEPHONE|2004-12-31|1050|853628|463546
1219143|501|legal services|2004-09-30|21296|853690|463591
1218855|505|Dissolution and Merger of 125 to Local 172|2004-11-10|533431|853633|463549
127681|501|Targeted fnds for contractors|2004-01-20|12500|85479|279327
127682|501|Targeted fnds for contractors|2004-01-30|7500|85480|279327
127683|501|Targeted fnds for contractors|2004-03-12|7500|85480|279327
127684|501|Targeted fnds  for contractors|2004-10-19|15000|85480|279327
127685|501|Targeted fnds for contractors|2004-02-24|50000|85481|279327
127686|501|Targeted fnds for contractors|2004-02-24|18750|85482|279327
127687|501|Targeted fnds for contractors|2004-05-25|18750|85482|279327
127688|501|Targeted fnds for contractors|2004-07-27|18750|85482|279327
127689|501|Targeted fnds for contractors|2004-09-07|37500|85482|279327
127690|501|Targeted fnds for contractors|2004-10-12|18750|85482|279327
127691|501|Targeted fnds for contractors|2004-03-01|17500|85483|279327
127692|501|Targeted fnds for contractors|2004-08-10|8750|85483|279327
127693|501|Targeted fnds for contractors|2004-09-22|8750|85483|279327
127694|501|Targeted fnds for contractors|2004-12-21|17500|85483|279327
127695|501|Targeted fnds for contractors|2004-03-12|12500|85484|279327
127696|501|Targeted fnds for contractors|2004-03-12|22500|85484|279327
127697|501|Targeted fnds for contractors|2004-05-25|12500|85484|279327
127698|501|Targeted fnds for contractors|2004-06-01|12500|85484|279327
127699|501|Targeted fnds for contractors|2004-06-08|22500|85484|279327
127700|501|Targeted fnds for contractors|2004-07-07|22500|85484|279327
127701|501|Targeted fnds for contractors|2004-09-28|12500|85484|279327
127702|501|Targeted fnds for contractors|2004-10-05|22500|85484|279327
127703|501|Targeted fnds for contractors|2004-09-10|35000|85485|279327
127704|501|Targeted fnds for contractors|2004-09-10|15000|85486|279327
127705|501|Targeted fnds for contractors|2004-10-05|30000|85486|279327
127706|501|Targeted fnds for contractors|2004-11-03|15000|85486|279327
127707|501|Targeted fnds for contractors|2004-09-22|31875|85487|279327
127708|502|Political cont thru COPE|2004-01-06|10000|85488|279327
127709|502|Political cont thru COPE|2004-09-08|27000|85488|279327
127710|502|Political cont thru COPE|2004-01-06|7000|85489|279327
127711|502|Political cont thru COPE|2004-01-12|10000|85490|279327
127712|502|Political cont thru COPE|2004-02-06|24000|85491|279327
127713|502|Political cont thru COPE|2004-02-18|5000|85492|279327
127714|502|Political cont thru COPE|2004-04-13|7200|85493|279327
127715|502|Political cont thru COPE|2004-07-15|5000|85494|279327
127716|502|Political cont thru COPE|2004-07-15|7200|85495|279327
127717|502|Political cont thru COPE|2004-08-04|7200|85496|279327
127718|502|Political cont thru COPE|2004-08-05|10000|85497|279327
127719|502|Political cont thru COPE|2004-08-16|10000|85498|279327
127720|502|Political contribution thru COPE|2004-08-17|6000|85499|279327
127721|502|Political cont thru COPE|2004-09-22|75000|85500|279327
127722|502|Sweatshirts for election day|2004-10-14|13252|85501|279327
127723|502|Political cont thru COPE|2004-11-05|5000|85502|279327
127724|503|Stickers and letters of assent|2004-07-07|5250|85503|279327
127725|503|Christmas party|2004-01-01|5000|85504|279327
127726|503|Christmas party|2004-12-18|5300|85504|279327
127727|504|Computer consulting|2004-04-28|6922|85505|279327
127728|504|Computer consulting|2004-07-27|5131|85505|279327
127729|504|Computer consulting|2004-11-24|5359|85505|279327
127730|504|Computer consulting|2004-12-28|7975|85505|279327
127731|504|Accounting|2004-03-12|5400|85507|279327
127732|504|Accounting|2004-03-12|8800|85507|279327
127733|504|Accounting|2004-10-19|5000|85507|279327
127734|504|Accounting|2004-11-23|5040|85507|279327
127735|504|Annual diiner|2004-03-23|72000|85508|279327
127736|504|Annual dinner|2004-03-23|50760|85508|279327
127737|504|Annual dinner|2004-12-17|34250|85509|279327
127738|504|Picnic|2004-03-09|8046|85510|279327
127739|504|Picnic|2004-06-01|8646|85510|279327
127740|504|Picnic|2004-07-13|8646|85510|279327
127741|504|Golf tournament|2004-09-02|25404|85511|279327
127742|504|Postage|2004-04-13|5000|85512|279327
127743|504|Postage|2004-05-25|5000|85512|279327
127744|504|Postage|2004-10-26|5000|85512|279327
127745|504|Rent|2004-01-26|25000|85513|279327
127746|504|Rent|2004-03-09|25000|85513|279327
127747|504|Rent|2004-03-30|25000|85513|279327
