OID|DISBURSEMENT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
4131455|501|Member Defense|2019-09-16|30422|2712286|737701
4131456|501|Member Defense|2019-10-18|30591|2712286|737701
4131457|501|Member Defense|2019-11-19|32539|2712286|737701
4131458|501|Member Defense|2019-12-18|32376|2712286|737701
4131459|501|Member Defense|2020-01-24|31723|2712286|737701
4131460|501|Member Defense|2020-02-21|31365|2712286|737701
4131461|501|Member Defense|2020-04-16|30827|2712286|737701
4131462|501|member Defense|2020-05-28|31605|2712286|737701
4131463|501|Member Defense|2020-06-04|29666|2712286|737701
4131464|501|Member Defense|2020-06-18|30508|2712286|737701
4131465|501|Printing, Prep & Deliver Strike Vote|2019-09-19|8125|2712287|737701
4131466|501|Ballot Pick Up from Schools|2019-09-26|10420|2712287|737701
4131467|501|Printing Various Ballots, Posters|2019-10-15|9125|2712287|737701
4131468|501|Printing, Prep Strike Ballots, Envelopes, Flyers|2019-11-01|12579|2712287|737701
4131469|501|Prep & Delivery of TA Ballots|2019-11-06|7680|2712287|737701
4131470|501|Prep & Delivery TA Booklets|2019-11-08|7668|2712287|737701
4131471|501|Pick up TA Ballots from Schools|2019-11-14|6868|2712287|737701
4131472|501|Printing Ballots, Cards, Envelopes for TA|2019-12-17|12076|2712287|737701
4131473|501|Communications Consultant -  Strike Radio|2019-11-26|23004|2712288|737701
4131474|501|Member Cases|2019-10-02|5245|2712289|737701
4131475|501|Member Cases|2019-12-04|7408|2712289|737701
4131476|501|Member Cases|2020-05-07|18500|2712289|737701
4131477|501|Arbitrator|2020-01-24|5600|2712290|737701
4131478|501|Arbitrator Member Cases|2019-12-10|7520|2712291|737701
4131479|501|Strike Related Broadcasting|2019-09-19|20920|2712292|737701
4131480|501|Strike Related Broadcasting|2019-10-11|20920|2712292|737701
4131481|501|Strike Related Broadcasting|2019-10-16|13110|2712292|737701
4131482|501|Strike Related Broadcasting|2019-11-20|15770|2712292|737701
4131483|502|Candidate Contribution|2020-01-27|5000|2712293|737701
4131484|502|Consulting-Govt Affairs IL General Assembly|2020-01-01|7000|2712294|737701
4131485|502|Consulting-Govt Affairs IL General Assembly|2019-07-01|7000|2712294|737701
4131486|502|Consulting-Govt Affairs IL General Assembly|2019-07-31|7000|2712294|737701
4131487|502|Consulting-Govt Affairs IL General Assembly|2019-09-03|7000|2712294|737701
4131488|502|Consulting-Govt Affairs IL General Assembly|2019-09-30|7000|2712294|737701
4131489|502|Consulting-Govt Affairs IL General Assembly|2019-10-01|7000|2712294|737701
4131490|502|Consulting-Govt Affairs IL General Assembly|2019-11-01|7000|2712294|737701
4131491|502|Consulting-Govt Affairs IL General Assembly|2019-12-01|7000|2712294|737701
4131492|502|Consulting-Govt Affairs IL General Assembly|2020-02-01|7000|2712294|737701
4131493|502|Consulting-Govt Affairs IL General Assembly|2020-03-01|7000|2712294|737701
4131494|502|Consulting-Govt Affairs IL General Assembly|2020-04-01|7000|2712294|737701
4131495|502|Consulting-Govt Affairs IL General Assembly|2020-05-01|7000|2712294|737701
4131496|502|Consulting-Govt Affairs IL General Assembly|2020-06-01|7000|2712294|737701
4131497|502|Election Mailers|2020-04-16|8082|2712295|737701
4131498|502|Election Mailers|2020-04-24|35003|2712295|737701
4131499|502|Candidate Contribution|2020-01-27|20000|2712297|737701
4131500|502|Candidate Contribution|2020-01-29|15000|2712298|737701
4131501|502|Candidate Contribution|2020-01-27|7500|2712299|737701
4131502|502|Legislative-Municipal Election-mailings & postage|2019-10-07|6663|2712300|737701
4131503|502|Legislative-Municipal Election-mailings & postage|2019-12-04|18570|2712300|737701
4131504|502|Government Affairs|2019-07-01|8000|2712303|737701
4131505|502|Government Affairs|2019-07-31|8000|2712303|737701
4131506|502|Government Affairs|2019-09-03|8000|2712303|737701
4131507|502|Government Affairs|2019-09-30|8000|2712303|737701
4131508|502|Government Affairs|2019-11-01|8000|2712303|737701
4131509|502|Government Affairs|2019-12-01|8000|2712303|737701
4131510|502|Government Affairs|2020-01-01|8000|2712303|737701
4131511|502|Government Affairs|2020-02-01|10000|2712303|737701
4131512|502|Government Affairs|2020-02-01|8000|2712303|737701
4131513|502|Government Affairs|2020-03-01|8000|2712303|737701
4131514|502|Government Affairs|2020-04-01|8000|2712303|737701
4131515|502|Government Affairs|2020-05-01|8000|2712303|737701
4131516|502|Government Affairs|2020-06-01|8000|2712303|737701
4131517|503|Foundation Gala Donation|2019-08-26|5000|2712304|737701
4131518|503|Annaul Gala Table Sponsorship|2020-01-31|5000|2712305|737701
4131519|503|Masks|2020-04-24|5000|2712306|737701
4131520|503|Charitable Contribution|2020-02-10|5000|2712307|737701
4131521|505|Election Service|2019-10-17|152834|2712310|737701
4131522|502|Political Organization|2020-01-27|15000|2712314|737701
4131523|502|Contribution|2020-03-03|52000|2712315|737701
4131524|505|Postage Provider|2020-01-30|16000|2712317|737701
4131525|505|Postage Provider|2020-02-21|12166|2712317|737701
4131526|505|Postage Provider|2020-05-06|7221|2712317|737701
4131527|505|Pension Litigation|2020-01-30|14539|2712318|737701
4131528|505|CONVENTION LUNCH TICKETS|2019-10-18|5350|2712320|737701
4131529|505|CONVENTION BREAKFAST TICKETS|2019-12-10|5274|2712320|737701
4131530|505|Teletown Services - Remote Teaching|2020-04-01|8808|2712321|737701
4131531|505|Teletown Services - Remote Teaching|2020-04-09|11105|2712321|737701
4131532|505|Teletown Services - Remote Teaching|2020-06-04|6246|2712321|737701
4131533|505|Teletown Services - Remote Teaching|2020-05-21|11105|2712321|737701
4131534|505|Legal Insurance|2020-01-28|10499|2712323|737701
4131535|505|Accounting & Financial Consulting|2019-11-13|15692|2712324|737701
4131536|505|Accounting & Financial Consulting|2019-12-02|13500|2712324|737701
4131537|505|Accounting & Financial Consulting|2019-12-05|13500|2712324|737701
4131538|505|Accounting & Financial Consulting|2019-07-02|13500|2712324|737701
4131539|505|Accounting & Financial Consulting|2019-07-02|13500|2712324|737701
4131540|505|Accounting & Financial Consulting|2019-11-13|16132|2712324|737701
4131541|505|Copier Equipment Leasing|2019-11-08|8202|2712325|737701
4131542|505|Copier Equipment Leasing|2019-12-10|8202|2712325|737701
4131543|505|Copier Equipment Leasing|2020-01-09|8202|2712325|737701
4131544|505|Copier Equipment Leasing|2020-02-10|8202|2712325|737701
4131545|505|Copier Equipment Leasing|2020-03-09|8202|2712325|737701
4131546|505|Copier Equipment Leasing|2020-04-06|8202|2712325|737701
4131547|505|Copier Equipment Leasing|2020-05-06|11757|2712325|737701
4131548|505|Copier Equipment Leasing|2020-06-01|11757|2712325|737701
4131549|505|Copier Equipment Leasing|2019-07-10|7877|2712325|737701
4131550|505|Copier Equipment Leasing|2019-08-10|7877|2712325|737701
4131551|505|Copier Equipment Leasing|2019-09-10|7877|2712325|737701
4131552|505|Copier Equipment Leasing|2019-10-10|8202|2712325|737701
4131553|505|Copier Maintenance|2019-11-19|5978|2712326|737701
4131554|505|Insurance Provider|2019-08-08|27860|2712327|737701
4131555|505|Insurance Provider|2020-01-28|5244|2712327|737701
4131556|505|Insurance Provider|2020-05-27|109366|2712327|737701
4131557|505|Rent/Taxes/CAM|2019-07-12|152127|2712328|737701
4131558|505|Rent/Taxes/CAM|2019-08-21|64010|2712328|737701
4131559|505|LEASE BUY OUT|2019-08-21|678082|2712328|737701
4131560|505|Rent/Taxes/CAM|2019-09-16|86039|2712328|737701
4131561|505|Rent/Taxes/CAM|2019-10-18|86039|2712328|737701
4131562|505|Rent/Taxes/CAM|2019-11-19|89782|2712328|737701
4131563|505|Rent/Taxes/CAM|2019-12-06|89782|2712328|737701
4131564|505|Rent/Taxes/CAM|2020-01-17|91035|2712328|737701
4131565|505|Rent/Taxes/CAM|2020-02-14|91337|2712328|737701
4131566|505|Rent/Taxes/CAM|2020-03-03|91337|2712328|737701
4131567|505|Rent/Taxes/CAM|2020-04-01|91337|2712328|737701
4131568|505|Rent/Taxes/CAM|2020-05-21|91337|2712328|737701
4131569|505|Rent/Taxes/CAM|2020-06-01|91337|2712328|737701
4131570|505|Auditing Balance for FY18|2019-11-01|36000|2712329|737701
4131571|505|Auditing Partial for FY19|2020-04-16|35000|2712329|737701
4131572|505|Catering|2020-02-10|8443|2712330|737701
4131573|505|Catering|2019-12-04|13931|2712331|737701
4131574|505|Catering|2020-02-25|6411|2712331|737701
4131575|505|Consulting|2020-01-02|13500|2712333|737701
4131576|505|Consulting|2020-02-03|13500|2712333|737701
4131577|505|Consulting|2020-03-02|13500|2712333|737701
4131578|505|Consulting|2020-04-01|13500|2712333|737701
4131579|505|Consulting|2020-04-16|13500|2712333|737701
4131580|505|Consulting|2020-05-01|13500|2712333|737701
4131581|505|Rental & Lease Consulting Firm|2019-10-01|114126|2712334|737701
4131582|505|Sponsor Labor Day Luncheon|2019-07-16|5000|2712335|737701
4131583|505|Balance Labor Day Luncheon|2019-09-03|5000|2712335|737701
4131584|505|IT Services|2019-08-08|7371|2712342|737701
4131585|505|IT Services|2019-12-20|5128|2712342|737701
4131586|505|IT Services|2020-04-09|30000|2712342|737701
4131587|505|Media-newspaper printing|2019-08-01|16650|2712343|737701
4131588|505|Media-newspaper printing|2019-10-02|16650|2712343|737701
4131589|505|Media-newspaper printing|2020-03-13|16650|2712343|737701
4131590|505|Postage Equipment Leasing|2019-12-23|9665|2712348|737701
4131591|505|Newspaper (CUT) Printing & Letterhead|2019-08-23|8865|2712349|737701
4131592|505|Newspaper (CUT) Printing|2020-02-25|7280|2712349|737701
4131593|505|401K and Retirement Plans Service Fee|2019-11-01|10400|2712350|737701
4131594|505|Communications Consultant |2020-02-25|7175|2712351|737701
4131595|505|Communications Consultant|2020-03-09|5250|2712351|737701
4131596|505|Communications Consultant|2020-04-09|5250|2712351|737701
4131597|505|Communications Consultant|2020-05-07|5250|2712351|737701
4131598|505|Communications Consultant & Facebook Ad|2020-05-14|12000|2712351|737701
4131599|505|Communications Consultant|2020-06-01|5250|2712351|737701
4131600|505|Software Provider|2020-02-03|53190|2712353|737701
4131601|505|WORKSHOP  SPACE RENTAL|2020-01-16|5955|2712356|737701
4096168|505|Christmas party|2019-11-11|11600|2692737|736181
4096169|505|Christmas party|2019-12-11|5283|2692737|736181
4096170|505|Audit fees|2019-11-04|8099|2692738|736181
4096171|505|Audit fees|2020-02-03|5900|2692738|736181
4096172|503|Promotions|2019-07-18|6000|2692739|736181
4116606|501|MEMBERSHIP EVENT|2019-12-02|5000|2704084|736572
4116607|504|INSURANCE|2020-06-17|6438|2704085|736572
4087166|501|Christmas Party|2019-12-06|20808|2685820|735611
4080995|505|2019 ANNUAL PIPE TRADES CONVENTION|2019-06-27|96745|2680301|734116
4080996|504|UNION LIABILITY POLICY 10/1/19-10/1/20|2019-10-22|12256|2680304|734116
4080997|503|DONATION|2019-10-22|5000|2680306|734116
4080998|505|METAL PLAQUE SPONSORSHIP|2019-11-20|5000|2680308|734116
4080999|502|MEET AND GREET RECEPTION|2020-05-01|15350|2680309|734116
4081000|502|CONTRIBUTION|2019-11-20|18158|2680310|734116
4081001|503|DONATION|2019-07-11|5000|2680311|734116
4081002|503|DONATION|2020-01-29|10000|2680311|734116
4081003|505|2019 AUDIT FEES|2019-10-22|14951|2680312|734116
4081004|505|DINNER RECEPTION AFTER LEG/MEET & GREET|2020-03-25|5166|2680313|734116
4081005|505| 2020 CONVENTION GIVEAWAYS - KNIVES|2020-04-16|24666|2680314|734116
4081006|505|BUSINESS MANAGERS MEETING DINNER RECEPTION|2019-11-26|15660|2680315|734116
4081007|505|2019 OCTOBER QUARTERLY MEETING|2019-11-20|5720|2680316|734116
4081008|501|2019 APPRENTICESHIP CONTEST|2019-08-14|30000|2680319|734116
4081009|501|2020 APPRENTICESHIP CONTEST|2020-05-13|30000|2680319|734116
4106366|504|AUDIT PREP FOR LOCAL 811 YEAR END 6/30/2019|2019-10-16|7100|2699063|736455
4106367|504|AUDIT PREP FOR LOCAL 493 YEAR END 6/30/2019|2020-01-13|5730|2699063|736455
4106368|504|YEAR END 6/30/19 AUDIT AND LM-2|2019-09-11|12450|2699067|736455
4080297|502|Contribution|2020-02-17|5000|2679820|733909
4080298|502|Dinner Sponsor|2019-10-10|5000|2679821|733909
4080299|502|Sponsorship|2019-10-01|10000|2679822|733909
4080300|504|Audit and Tax Services|2019-09-30|13423|2679824|733909
4080301|504|Utility Services|2019-10-01|6665|2679826|733909
4080302|504|Utility Services|2019-11-01|6626|2679826|733909
4080303|504|Utility Services|2019-11-27|6198|2679826|733909
4080304|504|Utility Services|2019-12-30|6629|2679826|733909
4080305|504|Utility Services|2020-01-31|6853|2679826|733909
4080306|504|Utility Services|2020-02-28|6854|2679826|733909
4080307|504|Utility Services|2020-03-30|6756|2679826|733909
4080308|504|Utility Services|2020-04-28|5609|2679826|733909
4080309|504|Utility Services|2020-05-29|5396|2679826|733909
4080310|504|Utility Services|2019-06-28|5841|2679826|733909
4080311|504|Utility Services|2019-08-01|6612|2679826|733909
4080312|504|Utility Services|2019-09-03|5964|2679826|733909
4080313|504|Consulting|2020-02-28|6000|2679828|733909
4080314|504|Consulting|2020-04-08|6000|2679828|733909
4080315|504|Consulting|2020-05-12|6000|2679828|733909
4080316|504|Lapel Pins|2019-09-03|6605|2679830|733909
4080317|505|Christmas Party|2019-12-04|25970|2679832|733909
4080318|504|Insurance Premium|2019-08-20|37198|2679833|733909
4080319|504|Loan Payment|2019-06-03|24486|2679835|733909
4080320|504|Loan Payment|2019-07-01|24487|2679835|733909
4080321|504|Loan Payment|2019-08-01|24486|2679835|733909
4080322|504|Loan Payment|2019-09-03|24487|2679835|733909
4080323|504|Loan Payment|2019-10-01|24486|2679835|733909
4080324|504|Loan Payment|2019-11-01|24486|2679835|733909
4080325|504|Loan Payment|2019-12-02|24486|2679835|733909
4080326|504|Loan Payment|2020-01-01|24487|2679835|733909
4080327|504|Loan Payment|2020-02-03|24486|2679835|733909
4080328|504|Loan Payment|2020-03-02|24486|2679835|733909
4080329|504|Loan Payment|2020-04-01|24487|2679835|733909
4080330|504|Loan Payment|2020-05-01|24487|2679835|733909
4141834|504|ACCOUNTING FEES|2020-01-13|5283|2718997|738521
4106030|504|Event food|2019-12-11|6228|2698745|736413
4106031|504|Event food|2019-12-20|9573|2698745|736413
4106032|504|Auto Repair|2019-08-15|6121|2698746|736413
4106033|504|Merchandise|2019-11-13|5807|2698747|736413
4106034|505|Professional services|2019-10-31|7250|2698748|736413
4106035|504|Rent|2020-01-06|6810|2698749|736413
4106036|504|Rent|2020-02-03|6810|2698749|736413
4106037|504|Rent|2020-03-02|6810|2698749|736413
4106038|504|Rent|2020-04-01|6810|2698749|736413
4106039|504|Rent|2020-05-01|6810|2698749|736413
4106040|504|Rent|2020-06-01|6810|2698749|736413
4106041|504|Rent|2019-07-01|6611|2698749|736413
4106042|504|Rent|2019-08-01|6611|2698749|736413
4106043|504|Rent|2019-09-01|6611|2698749|736413
4106044|504|Rent|2019-10-01|6611|2698749|736413
4106045|504|Rent|2019-11-01|6611|2698749|736413
4106046|504|Rent|2019-12-01|6611|2698749|736413
4106234|501|MEMBERSHIP EVENT|2019-11-26|5000|2698945|736442
4106235|501|MEMBERSHIP EVENT|2019-12-16|14500|2698945|736442
4085260|504|ACCOUNTING AND AUDITING SERVICES|2019-10-30|10640|2683819|735196
4085261|504|ACCOUNTING AND AUDITING SERVICES|2020-02-26|5885|2683819|735196
4085262|501|PROMOTIONAL ITEMS|2019-12-10|6018|2683820|735196
4085263|503|GIFT CARDS|2019-10-16|7050|2683821|735196
4085264|501|CATERING - CHRISTMAS EVENT|2019-11-21|14487|2683822|735196
4085265|501|SKILLS EVENT EXPENSE REIMBURSEMENT|2019-08-27|21570|2683825|735196
4116628|501|Jobs Program|2019-08-30|24013|2704105|736581
4116629|501|Jobs Program|2020-02-26|33117|2704105|736581
4116630|501|Jobs Program|2020-02-26|17971|2704106|736581
4116631|501|Jobs Program|2020-06-30|7076|2704106|736581
4116632|501|Jpbs Program|2020-02-26|13440|2704107|736581
4116633|501|Jobs Program|2020-05-29|9560|2704108|736581
4116634|501|Jobs Program|2019-11-25|47759|2704109|736581
4116635|501|Jobs Program|2019-09-26|45656|2704110|736581
4116636|501|Jobs Program|2020-04-22|20875|2704110|736581
4116637|501|Jobs Program|2019-11-25|29400|2704111|736581
4116638|501|Jobs Program|2019-12-30|14700|2704111|736581
4116639|501|Jobs Program|2020-02-06|14700|2704111|736581
4116640|501|Jobs Program|2020-06-30|10925|2704111|736581
4116641|501|Jobs Program|2019-08-30|25496|2704112|736581
4116642|501|Jobs Program|2019-11-25|24748|2704113|736581
4116643|501|Jobs Program|2019-08-30|23845|2704114|736581
4116644|501|Jobs Program|2020-02-27|11090|2704114|736581
4116645|504|Postage|2020-05-22|10525|2704119|736581
4116646|504|Auto Insurance|2020-03-24|15744|2704123|736581
4116647|504|Liability Insurance|2020-04-29|14486|2704123|736581
4116648|505|Audit Fee|2019-09-10|7700|2704124|736581
4116649|502|Our Share Labor Peace Act Polling|2020-01-01|5000|2704126|736581
4116650|503|Giftcards to out of work members|2019-12-17|7497|2704127|736581
4116651|503|Mt Harvard Sponsorship|2020-02-06|5000|2704131|736581
4133090|501|CONVENTION PINS|2020-03-10|14771|2713449|737880
4133091|501|MEMBERSHIP EVENT|2019-12-05|14486|2713450|737880
4080533|501|APPAREL|2019-11-12|6836|2679910|733937
4080534|501|APPAREL|2019-11-18|12949|2679910|733937
4080535|504|TEMPORARY HELP|2020-06-12|9115|2679912|733937
4080536|505|ROOMS FOR GENERAL CONVENTION|2020-06-19|6619|2679914|733937
4105914|501|MEMBERSHIP EVENT|2019-12-13|15639|2698625|736399
4105915|501|PROMOTIONAL ITEMS|2019-09-19|7437|2698626|736399
4131811|501|Stickers|2019-07-31|5014|2712589|737775
4090095|505|PRINTING, POSTAGE & HANDLING|2019-08-08|2893|2688209|735839
4090096|505|PRINTING, POSTAGE & HANDLING|2019-11-10|3516|2688209|735839
4090097|505|PRINTING, POSTAGE & HANDLING|2020-02-13|3032|2688209|735839
4090098|505|PRINTING, POSTAGE & HANDLING|2020-05-29|4433|2688209|735839
4090099|505|STATE CONVENTION DELEGATES (MULTIPLE)|2019-07-08|10470|2688210|735839
4090100|505|NATIONAL CONVENTION DELEGATES (MULTIPLE)|2019-08-14|31278|2688211|735839
4086916|504|06/30/2019 AUDIT|2019-10-22|5500|2685524|735565
4086917|504|06/30/2019 AUDIT|2019-11-08|13875|2685524|735565
4086918|501|JOB TARGET PROGRAM|2020-03-13|6515|2685525|735565
4086919|501|JOB TARGET PROGRAM|2020-05-19|8493|2685525|735565
4086920|501|JOB TARGET PROGRAM|2019-07-03|5325|2685525|735565
4086921|501|JOB TARGET PROGRAM|2019-10-03|10086|2685525|735565
4086922|501|JOB TARGET PROGRAM|2020-04-08|40000|2685526|735565
4086923|501|JOB TARGET PROGRAM|2020-02-24|6800|2685527|735565
4086924|504|CRIME COVERAGE|2020-06-19|15511|2685529|735565
4105918|504|ACCOUNTING FEES - AUDIT & TAX PREP|2019-10-24|6248|2698634|736406
4105919|504|PURCHASE LOCAL 805 T-SHIRTS|2020-06-11|5500|2698635|736406
4105920|504|PURCHASE LOCAL 805 T-SHIRTS|2020-06-22|5639|2698635|736406
4101049|504|Property Insurance|2020-01-08|9279|2696049|736356
4101050|504|2019 Audit|2020-01-07|9800|2696050|736356
4101051|505|Winter conference|2020-03-31|10159|2696051|736356
4101052|502|Statewide Political Radio Adv|2019-07-12|40940|2696053|736356
4101053|502|John Bel Edwards runoff election|2020-06-05|17050|2696053|736356
4101054|503|Legal Defense Grant|2019-07-15|7166|2696054|736356
4101055|503|Legal Defense Grant|2019-10-05|7166|2696054|736356
4101056|503|Legal Defense Grant|2019-12-12|8187|2696058|736356
4101057|503|Legal Defense Grant for UTNO|2019-07-15|5863|2696059|736356
4101058|505|LFT Convention|2019-12-14|27327|2696061|736356
4147360|503|Gift|2019-07-14|500|2723255|739498
4147361|505|Bank Fee|2020-04-30|5|2723256|739498
4147362|505|Bank Fee|2020-05-31|5|2723256|739498
4147363|505|Bank Fee|2020-06-30|5|2723256|739498
4147364|505|Bank Fee|2019-07-31|5|2723256|739498
4147365|505|Bank Fee|2019-08-31|5|2723256|739498
4147366|505|Bank Fee|2019-09-30|5|2723256|739498
4147367|505|Bank Fee|2019-10-28|5|2723256|739498
4147368|505|Bank Fee|2019-11-30|5|2723256|739498
4147369|505|Bank Fee|2019-12-31|5|2723256|739498
4147370|505|Bank Fee|2020-01-31|5|2723256|739498
4147371|505|Bank Fee|2020-02-29|5|2723256|739498
4147372|505|Bank Fee|2020-03-31|5|2723256|739498
4147373|503|Gift|2020-01-01|75|2723257|739498
4147374|503|Gift|2020-01-01|75|2723258|739498
4147375|503|Gift|2020-01-01|75|2723259|739498
4147376|503|Gift|2020-01-01|75|2723260|739498
4147377|505|Meeting Meals|2019-08-01|184|2723261|739498
4147378|505|Office Supplies|2019-09-12|80|2723261|739498
4147379|505|Meeting Meals|2019-10-01|51|2723261|739498
4147380|505|Office Supplies|2020-02-01|245|2723261|739498
4147381|505|Meeting Meals|2019-09-15|161|2723262|739498
4147382|505|Meeting Meals|2019-09-24|59|2723262|739498
4147383|505|Meeting Meals|2019-11-15|47|2723262|739498
4147384|503|Gift|2019-12-09|75|2723263|739498
4147385|503|Gift|2020-01-01|75|2723264|739498
4147386|503|Gift|2019-12-09|75|2723265|739498
4147387|503|Retirement Gift|2019-09-12|847|2723266|739498
4147388|503|Retirement Gift|2019-09-12|477|2723266|739498
4147389|503|Retirement Gift|2019-09-15|647|2723266|739498
4147390|503|Retirement Gift|2019-09-25|410|2723266|739498
4147391|503|Retirement Gift|2019-09-25|425|2723266|739498
4147392|503|Retirement Gift|2020-02-10|500|2723266|739498
4147393|503|Retirement Gift|2020-03-01|255|2723266|739498
4147394|503|Retirement Gift|2020-05-12|2808|2723266|739498
4147395|503|Gift|2019-12-09|75|2723267|739498
4147396|503|Gift|2020-01-01|75|2723268|739498
4147397|505|Computer Expenses|2019-09-24|378|2723269|739498
4147398|503|Gift|2019-12-09|75|2723270|739498
4147399|505|Website Expense|2020-06-01|228|2723271|739498
4147400|505|Union Admin|2019-11-01|575|2723272|739498
4147401|505|Union Admin|2020-01-01|64|2723272|739498
4147402|505|Union Admin|2020-01-01|1821|2723272|739498
4147403|505|Voting Platform|2020-03-16|34|2723273|739498
4147404|505|Admin Expense|2019-09-18|208|2723274|739498
4147405|503|Gift|2020-02-01|75|2723275|739498
4147406|503|Gift|2019-12-06|75|2723276|739498
4147407|505|Training|2019-11-24|835|2723277|739498
4147408|503|Gift|2019-12-09|75|2723278|739498
4147409|503|Gift|2019-12-09|75|2723279|739498
4147410|505|Union Admin|2020-05-01|846|2723280|739498
4147411|505|Union Admin|2020-05-01|282|2723280|739498
4147412|505|Union Admin|2020-05-01|3759|2723280|739498
4147413|505|Union Checks|2020-02-20|169|2723281|739498
4147414|503|Gift|2019-12-06|75|2723282|739498
4147415|503|Gift|2020-03-01|75|2723283|739498
4147416|503|Gift|2019-12-06|75|2723284|739498
4147417|505|Training|2019-12-01|835|2723285|739498
4147418|503|Gift|2019-12-09|75|2723286|739498
4147419|505|Meeting Meals|2019-12-01|566|2723287|739498
4147420|505|Union Admin|2019-12-01|467|2723287|739498
4147421|505|Union Admin|2020-02-12|69|2723287|739498
4147422|505|Website Expense|2019-07-01|256|2723288|739498
4147423|505|Website Expense|2019-07-01|18|2723288|739498
4147424|505|Website Expense|2019-07-26|32|2723288|739498
