OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
112096||PUTNAM (MORGAN STANLEY)|3472|3472|3472|462905
112095||MORGAN STANLEY LIQUID|209|209|209|462905
334||Automobiles|78635|78635|78635|247088
112281||2004 Buick LeSabre|34468|34468|13842|463675
112284||2004 Buick LeSabre|40592|40592|15900|463675
112283||2004 Chevrolet K1500LT|32182|32182|14957|463675
112282||2004 Pontiac Grand Prix|34713|34713|14989|463675
1864||2004 Ford F-150|39115|39115|15256|250933
1866||John Deere lawn mower|1200|1200|1200|250933
1865||Heating & air conditioning units|8000|8000|8000|250933
126||COMPUTER EQUIPMENT|359|359|359|243239
112437||COMMERCIAL REAL ESTATE
9726 FRANKLIN AVE., FRANK|564859|561941|564859|464395
112439||FURNITURE & FIXTURES|14303|11801|14303|464395
112438||COMPUTER EQUIPMENT|3845|3076|3845|464395
96||COMPUTER|945|945|945|241306
100||2004 BUICK LESABRE|19075|19075|19075|241306
99||LAWNMOWER|1155|1155|1155|241306
98||WORKSTATION|3222|3222|3222|241306
97||LAPTOP COMPUTER & PRINTER|1781|1781|1781|241306
8237||FAX MACHINE|35|35|85|272811
127||OFFICE FURNITURE AND EQUIPMENT|1079110791|10791|10791|243243
129||EVERGREEN SELECT FUND|18552|18552|18552|243243
128||PIMCO TOTAL RETURN|64144|64144|64144|243243
112382||2004 CHEVROLET TRUCK|19911|15929|19911|464080
3476||SB ADJ RATE MUTUAL FUND - REINVESTED EARNINGS|1195|1195|1195|262029
3518||DELL COMPUTER|3717|2973|3717|262130
3521||SOFTWARE CONVERSION|2701|2161|2701|262130
3520||TELEPHONE SYSTEM|4127|3301|4127|262130
3519||LAPTOP|2989|2391|2989|262130
112418||Auto|22551|22551|22551|464137
112420||Auto|29393|29393|29393|464137
112419||Auto|23538|23538|23538|464137
112350||BUILDING IMPROVEMENTS|6363|6363|6363|464072
112355||SCHOLARSHIP TRUST FUND|7265|7265|7265|464072
112354||IDS FINANCIAL INVESTMENT|100000|100000|100000|464072
112353||AFL-CIO INVESTMENT|80121|80121|80121|464072
112352||VEHICLE|35521|35521|18610|464072
112351||OFFICE EQUIPMENT|9773|9773|9773|464072
112385||TRUCK|22943|22943|22943|464084
112387||PURCHASE OF SECURITIES, NET|16169|16169|16169|464084
112386||COMPUTER EQUIPMENT|2794|2794|2794|464084
77||Federated 856 Prime Value money market account|440542|440542|440542|240415
86||Federated Govt Tax Managed ISS #637 Money Market|1199|1199|1199|240415
85||Storage shed|2620|2555|2620|240415
84||Laptop computer|950|902|950|240415
83||Laptop computer|949|839|949|240415
82||Computer|900|765|900|240415
81||Laptop computer|1348|1101|1348|240415
80||Peachtree software|720|500|720|240415
79||Hederal Home Loan Bank 3.37% due 11/26/07 $100,000|100000|99563|100000|240415
78||Terre Haute Savings Bank CD 2.25% due 11/1/06|100191|100191|100191|240415
112151||LAPTOP AND COPIER|2338|2338|2338|463437
33||FIDELITY INVESTMENTS|129880|129880|129880|228746
87||COPY MACHINE|6395|5222|6395|241304
95||INCOME FUND OF AMERICA|12789|12789|12789|241304
94||AMERICAN BALANCED FUND|12900|12900|12900|241304
93||FURNACE|2950|2926|2950|241304
92||WATER HEATER|743|691|743|241304
91||DELL COMPUTERS|3360|3025|3360|241304
90||BLINDS AND LIGHT SWITCH FOR OFFICE|166|156|166|241304
89||BLINDS FOR OFFICE|254|229|254|241304
88||AIR CONDITIONER|443|384|443|241304
31||COMPUTER EQUIPMENT|2151|2151|2151|228680
32||BUILDING EQUIPMENT|636|636|636|228680
2107||Building Signs|2099|2099|2099|252295
2113||CDC Moderate Diversified Portfolio|25000|25886|25886|252295
2112||Edw Jones Money Mkt Fnd|60000|60000|60000|252295
2111||Fax Machine|216|216|216|252295
2110||Desk|686|686|686|252295
2109||Monitor|370|370|370|252295
2108||Computer|1020|1020|1020|252295
112349||GE CAP|398900|398900|398900|464069
112291||LAPTOP COMPUTER|5036|5036|5036|463709
112292||COMPUTER|1283|1283|1283|463748
112293||USED VENDING MACHINE|426|426|426|463748
63||OFFICE EQUIPMENT|6483|0|6483|229199
67||AMERICAN GENERAL ANNUITY|3417|3417|3417|229199
66||AIG ANNUITY|6774|6774|6774|229199
65||RIVERSIDE NATIONAL BANK C.D.|4873|4873|4873|229199
64||FURNITURE|451|0|451|229199
3586||P A SYSTEM|734|734|734|262620
3588||FAX MACHINE LOCATED AT PLANT UNION OFFICE|157|157|157|262620
3587||SHELVING UNITS AT UNION HALL OFFICE|194|194|194|262620
11||Roof Repair at 1009 Sycamore Street, Chico, CA|4249|4143|4249|226358
12||Dell Computer|663|597|663|226358
112312||SECURITY SYSTEM|7150|7150|7150|463927
112313||OFFICE MACHINES|1230|1230|1230|463927
112107||OFFICE EQUIPMENT|24869|23194|24869|463052
112108||AUTOMOBILES|115998|91320|71498|463052
52||Ford Explorer|15217|15217|15217|229081
57||F-150 Pickup|13829|13829|13829|229081
56||Expedition|15049|15049|15049|229081
55||Dodge Ram|12485|12485|12485|229081
54||Dodge Ram|12315|12315|12315|229081
53||Two computer towers|2349|2349|2349|229081
58||AUTOMOBILE PURCHASED, INCLUDING TRADE-IN OF AUTO|38129|38129|20129|229116
68||2004 FORD EXPLORER|31431|31431|31431|229614
70||2005 FORD EXPLORER|27959|27959|27959|229614
69||2005 FORD EXPLORER|28106|28106|28106|229614
4326||Computer equipment|1706|1706|1706|267394
4409||GOVERNMENTS BONDS|0|0|53605|267505
4413||IMPROVEMENT (MAYAGUEZ)|0|0|15949|267505
4412||IMPROVEMENTS BUILDING(VILLA CAPRI)|0|0|919531|267505
4411||BUILDING(VILLA CAPRI)|0|0|71754|267505
4410||FURNITURE & EQUIPMENT|0|0|19640|267505
74||2 DELL COMPUTERS|1567|1567|1567|236434
75||MORTGAGED BACK SECURITIES|899|899|899|236434
112294||FAX, SCANNER|708|708|708|463797
112295||INTEGRITY COMPUTER|758|758|758|463797
277||LAPTOP   COMPUTER|3261|1304|3261|246603
279||COMPUTER AND MONITOR|1266|506|1266|246603
278||PRINTERS|319|127|319|246603
2657||DELL COMPUTER|1806|1806|1806|259138
59||SERVER|1078|1078|1078|229173
62||LAPTOP|1610|1610|1610|229173
61||DODGE CAR|14719|14719|14719|229173
60||DURANGO|29135|29135|29135|229173
3625||Fax Machine|274|274|274|262635
24||2004 Mercury Gran Marquis Automobile|26500|22525|26500|227525
30||Peachtree Software|730|596|730|227525
29||Monitor|143|122|143|227525
28||Lexmark Fax/Printer/Scanner|221|192|221|227525
27||Central Processing Unit (CPU)|596|507|596|227525
26||Central Processing Unit (CPU)|613|501|613|227525
25||Computer-Server|3312|2705|3312|227525
112250||BLACKBERRY COMPUTERS|15223|6342|15223|463575
112254||6430.536 SH FIDELITY ADVISOR STRATEGIC INC.|72721|72721|72721|463606
5414||New Laptop Computer ( Blomstedt's )|826|826|826|270093
5419||Education Fund CD|946|9466|9466|270093
5418||New Centris CD|90000|90000|90000|270093
5417||New Desktop Computer (Carrow's)|600|600|600|270093
5416||New Desktop Computer (Hill's)|1000|1000|1000|270093
5415||New Laptop Computer (Hill's)|1016|1016|1016|270093
42493||6 COMPUTERS|7500|7500|7500|341376
42496||LAPTOP|1130|1130|1130|341376
42495||LAPTOP|851|851|851|341376
42494||7 WORK STATIONS|5676|5676|5676|341376
34||AUTOMOBILE|46579|46579|46579|228895
41||SECURITY DEPOSIT - MERGER|3000|3000|0|228895
40||SECURITY DEPOSITS|3500|3500|3500|228895
39||AUTOMOBILES - MERGER|36100|36100|0|228895
38||EQUIPMENT - MERGER|4250|4250|0|228895
37||INVESTMENT - MONEY MARKET FUNDS|300000|300000|300000|228895
36||LEASE IMPROVEMENTS|15405|15405|15405|228895
35||FURNITURE AND EQUIPMENT|40684|40684|40684|228895
112263||EQUITY SECURITY RECEIVED FROM MERGER|52|52|0|463647
112268||FURNITURE & EQUIPMENT RECEIVED FROM MERGER|20602|20602|0|463647
112267||VEHICLES RECEIVED FROM MERGER|95319|95319|0|463647
112266||BLDG & IMPROVEMENTS - ATLANTA, GA FROM MERGER|360965|360965|3480|463647
112265||LAND - ATLANTA, GEORGIA RECEIVED FROM MERGER|6968|6968|0|463647
112264||LAND - AUGUSTA, GEORGIA RECEIVED FROM MERGER|92347|92347|0|463647
